datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,td,t_td,humidity_abs
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16.0,6.735264220251612,3.1047357797483874,7.529565351622265
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40.0,5.755702672961894,3.264297327038106,7.058030781982465
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32.0,5.755702672961894,3.264297327038106,7.058030781982465
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13.0,5.620217905749209,4.219782094250791,6.971819770020615
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1.0,5.620217905749209,4.219782094250791,6.971819770020615
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1.0,5.620217905749209,4.219782094250791,6.971819770020615
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2.0,5.755702672961894,3.264297327038106,7.058030781982465
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3.0,5.998679844612657,2.201320155387342,7.198604140420299
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8.0,5.620217905749209,4.219782094250791,6.971819770020615
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14.0,8.987271326130216,4.132728673869783,8.676995113762796
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36.0,11.368307767958791,4.211692232041209,10.087730381813218
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56.0,11.534269678668318,3.2257303213316817,10.228210950480472
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84.0,13.155229888049664,4.0647701119503346,11.281825334794023
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94.0,13.707866534449396,5.1521334655506035,11.629915935742153
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106.0,13.707866534449396,5.1521334655506035,11.629915935742153
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110.0,13.949821725330985,4.0901782746690145,11.847469474246022
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93.0,14.122045646557883,3.097954353442116,12.014411395494932
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67.0,14.922644523204134,3.117355476795865,12.616785673872386
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35.0,15.215960408183733,2.004039591816266,12.89351466833603
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37.0,15.215960408183733,2.004039591816266,12.89351466833603
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36.0,14.231937285814743,2.1680627141852558,12.134540670622092
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34.0,14.231937285814743,2.1680627141852558,12.134540670622092
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28.0,15.432223858348928,0.9677761416510702,13.110883023430766
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39.0,16.830767315168487,2.0292326848315128,14.214341699240409
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17.0,16.830767315168487,2.0292326848315128,14.214341699240409
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17.0,17.059994784899622,0.9800052151003769,14.463144552975661
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9.0,17.219999999999995,3.552713678800501e-15,14.651721214018215
2011-01-02 03:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,4.0,6.0,17.87385156379647,0.9861484362035284,15.183501360552263
2011-01-02 04:00:00,1,0,0,2,18.86,22.725,94,12.998,2.0,1.0,3.0,17.87385156379647,0.9861484362035284,15.183501360552263
2011-01-02 06:00:00,1,0,0,3,17.22,21.21,77,19.9995,0.0,2.0,2.0,13.155229888049664,4.0647701119503346,11.281825334794023
2011-01-02 07:00:00,1,0,0,2,16.4,20.455,76,12.998,0.0,1.0,1.0,12.161823244689952,4.238176755310047,10.600288401922747
2011-01-02 08:00:00,1,0,0,3,16.4,20.455,71,15.0013,0.0,8.0,8.0,11.132163206876719,5.26783679312328,9.902901007059407
2011-01-02 09:00:00,1,0,0,2,15.58,19.695,76,15.0013,1.0,19.0,20.0,11.368307767958791,4.211692232041209,10.087730381813218
2011-01-02 10:00:00,1,0,0,2,14.76,17.425,81,15.0013,7.0,46.0,53.0,11.534269678668318,3.2257303213316817,10.228210950480472
2011-01-02 11:00:00,1,0,0,2,14.76,16.665,71,16.9979,16.0,54.0,70.0,9.557769456571855,5.202230543428145,8.965468857828562
2011-01-02 12:00:00,1,0,0,2,14.76,16.665,66,19.9995,20.0,73.0,93.0,8.47555100866169,6.28444899133831,8.334097811502605
2011-01-02 13:00:00,1,0,0,2,14.76,17.425,66,8.9981,11.0,64.0,75.0,8.47555100866169,6.28444899133831,8.334097811502605
2011-01-02 14:00:00,1,0,0,3,14.76,17.425,76,12.998,4.0,55.0,59.0,10.574710631026251,4.1852893689737485,9.596839904154514
2011-01-02 15:00:00,1,0,0,3,13.94,16.665,81,11.0014,19.0,55.0,74.0,10.734594039854796,3.205405960145203,9.72729525169463
2011-01-02 16:00:00,1,0,0,3,13.94,16.665,71,11.0014,9.0,67.0,76.0,8.77042153113516,5.16957846886484,8.526394603337268
2011-01-02 17:00:00,1,0,0,1,13.94,16.665,57,12.998,7.0,58.0,65.0,5.563197563993218,8.37680243600678,6.845133695636963
2011-01-02 18:00:00,1,0,0,2,14.76,16.665,46,22.0028,10.0,43.0,53.0,3.2585801845911635,11.501419815408836,5.808613626198786
2011-01-02 19:00:00,1,0,0,1,13.12,14.395,42,30.0026,1.0,29.0,30.0,0.4957105151659228,12.624289484834076,4.7951815102373345
2011-01-02 20:00:00,1,0,0,1,12.3,13.635,39,23.9994,5.0,17.0,22.0,-1.2606381498973467,13.560638149897347,4.231788095410258
2011-01-02 21:00:00,1,0,0,1,10.66,11.365,44,22.0028,11.0,20.0,31.0,-1.0956065728835995,11.7556065728836,4.308022744440267
2011-01-02 22:00:00,1,0,0,1,9.84,10.605,44,19.9995,0.0,9.0,9.0,-1.8416175799901702,11.68161757999017,4.090134265078761
2011-01-02 23:00:00,1,0,0,1,9.02,11.365,47,11.0014,0.0,8.0,8.0,-1.6948419375643091,10.714841937564309,4.1465930844146985
2011-01-03 00:00:00,1,0,1,1,9.02,9.85,44,23.9994,0.0,5.0,5.0,-2.587851302040419,11.60785130204042,3.8819169300903558
2011-01-03 01:00:00,1,0,1,1,8.2,8.335,44,27.9993,0.0,2.0,2.0,-3.3343078387835776,11.534307838783576,3.683006769517363
2011-01-03 04:00:00,1,0,1,1,6.56,6.82,47,26.0027,0.0,1.0,1.0,-3.951440072001364,10.511440072001363,3.537504670801584
2011-01-03 05:00:00,1,0,1,1,6.56,6.82,47,19.0012,0.0,3.0,3.0,-3.951440072001364,10.511440072001363,3.537504670801584
2011-01-03 06:00:00,1,0,1,1,5.74,5.305,50,26.0027,0.0,30.0,30.0,-3.8811858338209038,9.621185833820904,3.5666388395320987
2011-01-03 07:00:00,1,0,1,1,5.74,6.82,50,12.998,1.0,63.0,64.0,-3.8811858338209038,9.621185833820904,3.5666388395320987
2011-01-03 08:00:00,1,0,1,1,5.74,6.06,50,19.0012,1.0,153.0,154.0,-3.8811858338209038,9.621185833820904,3.5666388395320987
2011-01-03 09:00:00,1,0,1,1,6.56,6.82,43,26.0027,7.0,81.0,88.0,-5.131869201520998,11.691869201520998,3.2364404434993217
2011-01-03 10:00:00,1,0,1,1,7.38,8.335,43,16.9979,11.0,33.0,44.0,-4.386871045233076,11.766871045233076,3.413663223829001
2011-01-03 11:00:00,1,0,1,1,8.2,9.09,40,22.0028,10.0,41.0,51.0,-4.605237077861915,12.805237077861914,3.348187972288512
2011-01-03 12:00:00,1,0,1,1,9.02,10.605,35,19.9995,13.0,48.0,61.0,-5.63565822482632,14.655658224826318,3.087888467117328
2011-01-03 13:00:00,1,0,1,1,9.84,10.605,35,19.0012,8.0,53.0,61.0,-4.908214949022203,14.748214949022202,3.253515892676287
2011-01-03 14:00:00,1,0,1,1,10.66,12.12,30,19.0012,11.0,66.0,77.0,-6.215539342927434,16.875539342927432,2.9372882348456364
2011-01-03 15:00:00,1,0,1,1,10.66,12.12,30,16.9979,14.0,58.0,72.0,-6.215539342927434,16.875539342927432,2.9372882348456364
2011-01-03 16:00:00,1,0,1,1,10.66,12.12,30,16.9979,9.0,67.0,76.0,-6.215539342927434,16.875539342927432,2.9372882348456364
2011-01-03 17:00:00,1,0,1,1,9.84,11.365,30,15.0013,11.0,146.0,157.0,-6.930415954470115,16.770415954470117,2.788727908008246
2011-01-03 18:00:00,1,0,1,1,9.84,12.88,32,7.0015,9.0,148.0,157.0,-6.087964017386716,15.927964017386717,2.9746431018754627
2011-01-03 19:00:00,1,0,1,1,8.2,12.88,47,0.0,8.0,102.0,110.0,-2.4468340006413394,10.646834000641338,3.934120867439001
2011-01-03 20:00:00,1,0,1,1,8.2,11.365,47,7.0015,3.0,49.0,52.0,-2.4468340006413394,10.646834000641338,3.934120867439001
2011-01-03 21:00:00,1,0,1,1,7.38,9.85,64,8.9981,3.0,49.0,52.0,1.0171142699471254,6.3628857300528745,5.080801077326884
2011-01-03 22:00:00,1,0,1,1,5.74,7.575,69,8.9981,0.0,20.0,20.0,0.4954006546409434,5.244599345359057,4.921961598554297
2011-01-03 23:00:00,1,0,1,1,7.38,10.605,55,7.0015,1.0,11.0,12.0,-1.0708079185151538,8.450807918515153,4.366313425827791
